,u_name,u_screen_name,t_date,t_text,t_polarity_score,t_polarity,t_subjectivity_score,u_followers,t_retweets,t_favorited,t_mentions,t_id
0,Jason Allie,JasonAllie34,20/03/2019,Nice presentation by @babylonhealth at the @Conferenceboard Employee Health Care Conference #AI #Chatbots #VirtualHealthcare https://t.co/MQRRqJejhH,0.6,Neutral,1.0,1944,1,1,"Babylon (babylonhealth), The Conference Board (Conferenceboard)",1108388088995172353
1,GESDAT GmbH,GESDAT,20/03/2019,"T3n - Die #neuen #Arzthelfer: #Künstliche #Intelligenz erobert den #Gesundheitsbereich
 https://t.co/SmaCGLiGSO #AdaHealth #CloudDX #BabylonHealth #Arterys #Bfarm #FDA #Watson",0.0,Negative,0.0,214,0,0,,1108386958131298305
2,Gevity Consulting,GevityInc,20/03/2019,"@TELUSHealth's @babylonhealth app replaces ""Dr. Google"" and offers #virtualhousecalls (in BC), an #AI symptom checker and other features, but it's not ""fully tested"" and should be monitored for effectiveness, says medical researcher.
 https://t.co/3mvS3NA6dA",-0.008333333333333331,Negative,0.125,1126,0,0,"TELUS Health (TELUSHealth), Babylon (babylonhealth)",1108371819629854720
3,Erwin Kersten-Johnston,emj_kj,20/03/2019,@GeorginaHerdman @cumulyst @prudentialplc @babylonhealth Can they have you on the panel next time instead of 5 white men in suits? Hope you’re well Georgie :),0.16666666666666666,Negative,0.3333333333333333,248,0,1,"Georgina Herdman (GeorginaHerdman), Michael Natusch (cumulyst), Prudential plc (prudentialplc), Babylon (babylonhealth)",1108331293849333765
4,Surena Chande,SurenaSays,20/03/2019,Absolutely love this new @VerveSearch campaign where we asked students to describe what anxiety felt like to them. Their explanations were illustrated beautifully https://t.co/4B1JuuFBco,0.4954545454545454,Neutral,0.6848484848484849,1982,0,1,VerveSearch (VerveSearch),1108324889600159744
5,Laura D'amato,Laura_D_amato,20/03/2019,Such a beautiful and powerful campaign! We asked UK students to describe their experience with anxiety and illustrated their moving responses: https://t.co/sRmd67DreA via @babylonhealth,0.4083333333333334,Neutral,0.8333333333333334,301,0,0,Babylon (babylonhealth),1108322198165422080
6,Georgina Herdman,GeorginaHerdman,20/03/2019,"Why partner with InsurTechs? @cumulyst Global Head of AI at @prudentialplc discussing partnership with @babylonhealth, which enables frequent interaction with customers and therefore the opportunity to understand them much better #InsurTechInsights https://t.co/YvOpZxnnpp",0.19999999999999998,Negative,0.26666666666666666,627,0,0,"Michael Natusch (cumulyst), Prudential plc (prudentialplc), Babylon (babylonhealth)",1108320732881260545
7,Matthew Holt,boltyboy,20/03/2019,"In Singapore this April @health2con
Demos will be a big part of the #HIMSSSingapore program, led by our Japanese colleague Yuuri Ueda (@medpeer_post). Plus @babylonhealth &amp; @Healthbox Neil Patel on the agenda https://t.co/AO7lfa2fGS",0.0,Negative,0.05,22773,0,0,"Health 2.0 (health2con), メドピア株式会社（MedPeer, Inc.） (medpeer_post), Babylon (babylonhealth), Healthbox (Healthbox)",1108210909984387074
8,Kaoru Neve,KaoruNeve,20/03/2019,"@OhMiaGod Have you tried Babylon Health as a first level check? I'm not 100% sure, but their AI-based triage system should be free...

I think it's also accessible via web: https://t.co/wm8uIISHzl",0.38125,Neutral,0.5993055555555555,33,0,0,Mia Violet (OhMiaGod),1108181067066945538
9,Ian,IanStockport,19/03/2019,@DrMurphy11 @babylonhealth @GPatHand I think a good case can be made for a GP being forced to repay the additional payment they get when a GP registers of a pt if the pt leaves the GP without moving home.,0.19999999999999996,Negative,0.4,103,0,0,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)",1108141434757095424
