u_name,u_screen_name,t_date,t_text,t_polarity_score,t_polarity,t_subjectivity_score,u_followers,t_retweets,t_favorited,t_mentions
Dr Keith Grimes,keithgrimes,12/03/2019,"@cpeedell @marcus_baw @babylonhealth HI Clive, I am one of the doctors that works at Babylon and I'm directly involved with the clinical safety and governance. Why don't we arrange a meeting to talk about your concerns? Happy to host - DM me.",0.45,Neutral,0.7,5499,0,1,"Clive Peedell (cpeedell), Dr Marcus Baw (marcus_baw), Babylon (babylonhealth)"
Sam Dowling,saminus,12/03/2019,As we near the end of our @LondonwideLMCs annual conference #AllTogetherNow we move on to debate digital threats and opportunities with @jackieapplebeet @babylonhealth’s Dr Mobasher Butt and @ElliottSinger ably chaired by @bengoldacre https://t.co/PvNeqWu1bz,0.19999999999999998,Negative,0.3416666666666666,1417,2,3,"Londonwide LMCs (LondonwideLMCs), Jackieapplebeeturner (jackieapplebeet), Babylon (babylonhealth), Elliott (ElliottSinger), ben goldacre (bengoldacre)"
Londonwide LMCs,LondonwideLMCs,12/03/2019,"We are now on to our third and final long anticipated panel discussion of the day. Our guest speakers are: @ElliottSinger @jackieapplebeet and Dr Mobasher Butt, Chief Medical Officer of @babylonhealth https://t.co/xSO5LbpiAt",-0.0125,Negative,0.35,2076,1,1,"Elliott (ElliottSinger), Jackieapplebeeturner (jackieapplebeet), Babylon (babylonhealth)"
Mark Barley,Chronotrope,12/03/2019,@DrSelvarajah @DrMurphy11 @babylonhealth I mean we all know the diagnosis is Amyloid. Or Sarcoid.,-0.3125,Negative,0.6875,353,0,0,"Selvaseelan Selvarajah (DrSelvarajah), Dr Murphy (DrMurphy11), Babylon (babylonhealth)"
Mark Barley,Chronotrope,12/03/2019,@DrSelvarajah @DrMurphy11 @babylonhealth I’d like to know why the AI has fixation with “uncooked street food” and tapeworm.,-0.1,Negative,0.1,353,0,1,"Selvaseelan Selvarajah (DrSelvarajah), Dr Murphy (DrMurphy11), Babylon (babylonhealth)"
Shaun Lintern,ShaunLintern,12/03/2019,"Hosting @babylonhealth GP at Hand app could lead to cuts in other NHS services, reveals @BHeatherJourno https://t.co/BLFNPtqgiK https://t.co/tkS7MoYV3t",-0.125,Negative,0.375,24674,3,3,"Babylon (babylonhealth), Ben Heather (BHeatherJourno)"
💣 Medical Devices Expert,JoanneD_,12/03/2019,@Meddev_guy @DrMurphy11 @babylonhealth @MHRAdevices @RCPLondon @NHSEngland Who asked for Art20 disclosures?,0.0,Negative,0.0,466,0,0,"Meddev Guy (Meddev_guy), Dr Murphy (DrMurphy11), Babylon (babylonhealth), MHRA Devices Safety (MHRAdevices), Royal College of Physicians (RCPLondon), NHS England (NHSEngland)"
SHugar,SusiHarris,12/03/2019,@vanessafrank3 @kieran_walshe @JonAshworth @babylonhealth Good question although it might be CQC.,0.7,Neutral,0.6000000000000001,48,0,0,"vanessa frank (vanessafrank3), Kieran Walshe (kieran_walshe), Jonathan Ashworth (JonAshworth), Babylon (babylonhealth)"
Meddev Guy,Meddev_guy,12/03/2019,@JoanneD_ @DrMurphy11 @babylonhealth @MHRAdevices @RCPLondon @NHSEngland I didn't think MHRA could share any data under device regulations unless it was safety information! - (Article 20 MDD).,0.0,Negative,0.0,8,0,0,"Medical Devices Expert 🎳 (JoanneD_), Dr Murphy (DrMurphy11), Babylon (babylonhealth), MHRA Devices Safety (MHRAdevices), Royal College of Physicians (RCPLondon), NHS England (NHSEngland)"
michelle drage,michelledrage,12/03/2019,@RossLydall @LondonwideLMCs @bengoldacre @babylonhealth @GPatHand Yes - we’re here to be ‘brave’ @SirHumphreyA,0.8,Positive,1.0,3646,0,2,"Ross Lydall (RossLydall), Londonwide LMCs (LondonwideLMCs), ben goldacre (bengoldacre), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Sir Humphrey Appleby (SirHumphreyA)"
